"","cantantes","titulo","letra","genero","idioma","ano","posicion","semanas"
"343","BECKY G / BAD BUNNY","MAYORES","[Letra de ""Mayores""]

[Intro: Becky G]
Woah-oh, oh-oh-oh
Oh, oh, oh, woah
Woah-oh, oh, oh

[Verso 1: Becky G]
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

[Pre-Coro: Becky G]
Me gusta un caballero, que sea interesante
Que sea un buen amigo pero más un buen amante
¿Qué importan unos años de más?

[Coro: Becky G]
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca
[Post-Coro: Becky G]
Loca, oh-oh, oh, oh, oh
Loca, oh-oh, oh, oh, oh

[Verso 2: Bad Bunny]
Yo no soy viejo pero tengo la cuenta como uno
Si quiere' a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno (Yeh)
Yo estoy puesto pa' to' tu' locuras
Que tú quiere' un viejo, ¿'tás segura? (Wuh)
Yo te prometo un millón de aventura'
Y en la cama te duro lo que él no dura
Yo estoy activo 24/7
Conmigo no hacen falta lo' juguete'
Yo todavía nuevo de paquete
Pero si te gustan usa'o pues con otro vete

[Coro: Becky G]
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

[Post-Coro: Becky G]
Loca, oh-oh, oh, oh, oh
Loca, oh-oh, oh, oh, oh
[Puente: Becky G]
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me dé la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me dé la talla

[Coro: Becky G]
A mí me gustan, me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

[Post-Coro: Becky G]
Loca, oh-oh, oh, oh, oh
Loca, oh-oh, oh, oh, oh
Loca, oh-oh, oh, oh, oh
Loca, oh-oh, oh, oh, oh
Loca

[Outro: Bad Bunny]
Bad Bunny, baby
Jeje
Becky G
Becky G","pop","es",2017,15,24
"344","ZION & LENNOX / J BALVIN","OTRA VEZ","[Letra de ""Otra Vez"" ft. J Balvin]

[Intro: Zion, J Balvin & Lennox ]
(El sólo verte me dan ganas, eh)
(Precisamente en Cartagena; eh-eh, ay)
Infinity
Después de tanto me buscas
¿Por qué será?
¿Por qué a mi?, yeah
No te puedes ir sin contestar esa pregunta
¿Qué es lo que quieres?
¿Qué necesidad es la que tienes?

[Coro: Zion, Zion & J Balvin, Lennox]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah
(La ""Z"" y la ""L"")
[Verso 1: Lennox]
El sólo verte me dan ganas
De viajar al pasado y rescatar (Brrr; yeah)
Esos momentos que tú y yo compartimos (Sup, sup, sup)
Las ganas de rumbear
Eran noches de nunca terminar (Ay)
Vivíamos en una fantasía, pero era real (De verdad)

[Pre-Coro: Lennox]
Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Toma; lo que hicimos)
No e' casualidad que nos viéramos en la misma disco (Ah)
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Ah, ah)
No e' casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

[Coro: J Balvin]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer (J Balvin, man)
[Verso 2: J Balvin & Lennox]
Hoy vuelve a aparecer bajo la luna llena, sirena
Precisamente en Cartagena
Déjame revivir esto, es un placer
Ba-Ba-Baila que la noche es tuya, que el ritmo intuya
Pónle picante, que el amor fluya
Nos dimos cuenta que no había un final
Esto no tiene porque terminar (Ouh, ouh; de verdad)

[Pre-Coro: J Balvin, Lennox, J Balvin & Zion]
Lo que sentimos (Mamacita)
Lo que hicimos (Toma que toma)
No es casualidad que nos viéramos en la misma disco
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita)
Lo que hicimos (Ah, ah)
No es casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

[Coro: Zion, Zion & J Balvin]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah
[Outro: Zion, J Balvin & Lennox]
Chq-chq-chq-chq-chq-chq
Z Diddy
J Balvin, man
Zion, baby
La ""Z"" y la ""L""
Y Lennox
Leggo'
J Balvin
Sky Rompiendo El Bajo
Mo-Mo-Mosty
Bull Nene
Infinity
Leggo'
Infinity Music (Para seducirme otra vez)
Baby Records (Besarme otra vez)
(Volverme a poner el mundo al revés, como ayer, yeh)
La ""Z"" y la ""L""","pop","es",2017,16,65
"345","CHRIS JEDAY / J BALVIN / OZUNA / ARCANGEL","AHORA DICE","[Letra de ""Ahora Dice"" ft. Arcángel]

[Intro: Arcángel & J Balvin]
Baby, Chris Jeday, Chris Jeday
Austin Baby (J Balvin, man)
Ozuna, baby (Ozuna; ¡au!)
No quieres saber na' de mí
Dime que fue lo que yo hice mal
Te pusieron en contra de mí
Al que fue no se la vo' a perdonar

[Coro: Ozuna & J Balvin]
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos
[Verso 1: Ozuna]
Sé que te pasas negando
To' lo que tú y yo hacíamos
Queda en tu mente grabado
Todas las veces que nos desvestíamos
Ahora me paso pensando
Cómo tú puedes vivir así
Diciendo que no
Sabiendo que, entre sábanas, tú te entragaba' a mí
Sólo yo he podido llegarle
Tu cuerpo sabe elevarse
Y cuando tus piernas temblaban
No decías nada, ya no
Y ahora que ando con el dinero
No quiero interrupciones
Desde la prioridad
Pasaste a lista de opciones
Estoy con la colombiana que se va mañana
Y la cubana llega a París
Llámate al ruso que baje los kilos de oro
Que llega en la tarde a Brasil

[Pre-Coro: J Balvin]
Sólo yo he podido llegarle
Tu cuerpo sabe elevarse
Y cuando tus piernas temblaban
No decías nada, nada, no, no
[Coro: Ozuna & Arcángel]
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos
Y ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cuando lo hacíamos
Cuando en la cama nos matábamos

[Verso 2: J Balvin]
(Jaja, J Balvin, man)
Po-po-por más que me niegues a mí, no puedes escaparte
Si yo era tu luz, tú, mi sombra y me seguías a todas partes
Nos lograron separar (Ey), tú no quisiste escuchar (Ey)
Fue más importante qué dijo la gente que a dónde podíamos llegar (¡Rra!)
En el mundo de mí están hablando, diciendo mil cosas
Que me ven por aquí, que me ven por allá, por mi vida famosa
Tú me conoces de años atrás, sabes cómo es la cosa (La cosa)
Tú sabes que yo soy real, te lo dije una vez
Pensé que nuestro amor es periódico de ayer
Que tú no lo quieres leer, que ni por la calle tú me quieres ver
Si sales de party, me escuchas a mí
Siempre te preguntan por mí, baby
¿Dime qué se siente ser el fantasma que te atormenta a ti?
[Verso 3: Arcángel]
Dime qué pasó, mami, todo iba normal
Te hablaron de mí, te dejaste llevar
Tu cuerpo me estaba empezando a amar
Y por culpa de la gente ahora te toca olvidar
Yo sé que eres infeliz pero te pasas mintiendo
Fingiendo que eres feliz, mami, yo no te entiendo
Ahora él te pone a llorar, también te pone a sufrir
Mientras yo te ponía a viajar, bien linda te hacía lucir

[Pre-Coro: Arcángel]
Sólo yo he podido llegarle
Tu cuerpo sabe elevarse
Y cuando tus piernas temblaban
No me decían nada, nada, nada, nada

[Coro: Ozuna, Arcángel & J Balvin]
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos
Ahora dice que no me conoce, no, no, no, no, no
Y si me ha visto se supone, que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos

[Outro: J Balvin, Ozuna & Arcángel]
J Balvin, man
Ozuna (Ozuna, man)
Ozuna (Uoh-oh)
Arca, men (Austin, baby, ¡au!)
Así es como es
Chris Jeday
Ahora dice, dice, dice
Ahora dice, dice, dice","rb","es",2017,17,39
"346","PISO 21","ME LLAMAS","[Letra de ""Me Llamas""]

[Intro: Juan]
Súbete, súbete, súbete

[Verso 1: David]
Hoy te vi tan solita
Y tu mirada me dice que no estás bien
Te juré que siempre estaré
Que a pesar del tiempo yo te esperaré

[Pre-Coro: Juan]
Él nunca supo amarte como yo lo sé
Él no conoce cada espacio de tu piel
Sé que no soy perfecto pero te diré
Él no sabe cómo tratar a una mujer

[Coro: David, Juan]
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy
[Verso 1: Juan, David]
Soy el que te robó un beso en una noche lloviendo
Mojados, terminamos haciendo el amor
Mi piel extraña tu cuerpo y mi boca tus besos
Dime, tú, si me extrañas como lo hago yo

[Verso 2: Pablo]
'Toy loco por sacarte de esta soledad
Y darte de esos besos que él ya no te da
Tú llama cuando quieras que aquí voy a estar
Y si te hizo un daño lo voy a arreglar
Yo sé que estás para mí y yo soy para ti (sí, sí)
No dejemos morir lo que tenemos aquí

[Coro: David, Juan]
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy

[Pre-Coro: David, Juan]
Él nunca supo amarte como yo lo sé
Él no conoce cada espacio de tu piel
Sé que no soy perfecto pero te diré (eh-eh)
Él no sabe cómo tratar a una mujer
[Coro: David, Juan]
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy
Cuando tú quieras me llamas, tú me llamas
Soy el que te dio amor y el que te lo da hoy

[Outro: Piso 21, Juan]
Piso 21
Hey! Hey, hey, hey!
Súbete, súbete, súbete","pop","es",2017,18,65
"347","DADDY YANKEE / OZUNA","LA ROMPE CORAZONES","[Letra de ""La Rompe Corazones"" ft. Ozuna]

[Intro: Daddy Yankee & Ozuna]
Ziggy, Daddy Yankee
Oh, oh, oh-oh
Oh yeh, oh yeh
La, la
Oh, oh, oh-oh
Ozuna
Daddy, oh

[Puente: Ozuna]
Te pone una trampa
Primero se deja querer
Te eleva hasta el cielo
Y luego te deja caer
Y deja una huella donde quiera que pase
A veces buena, a veces mala
Pregunta bien

[Coro: Ozuna]
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen
[Verso 1: Daddy]
Mencionan su nombre y el diablo se esconde
Ve como un trofeo a todos los hombres
Dice que te ama y es que algo se trama
Te tiene dormido haciéndote la cama
To' lo que se propone, ella lo consigue
Quiere enamorarse y no se decide
Puedes bajarle el cielo y no hay quien la obligue
Caíste y es difícil que tú la olvides

[Pre-Coro: Daddy Yankee, Ozuna]
Y empieza su venganza
Cuando se gana tu confianza
Intenta pero su corazón no tranza
Te engañó y aún no pierdes la esperanza, no
Empieza su venganza
Cuando se gana tu confianza
Intenta pero su corazón no tranza
Te engañó y aún no pierdes la esperanza, no

[Coro: Ozuna]
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen
[Verso 2: Daddy]
Me enamoró y ahora me ignora
Me dijo que estaba sola
Le llamo ""la insaciable""
Que en la cama me devora
Hasta la mente me controla
Más de veinticuatro horas
No sabes lo que te espera
Hay sorpresas en la caja de Pandora

[Puente: Daddy]
Na-na-na' de lo que hagas va a ayudarte
No, no, no, no
Quizás te cures con el tiempo
(Ten cuida'o, cuida'o)
Pero esa marca va a quedarse, yeah

[Pre-Coro: Daddy Yankee, Ozuna]
Y empieza su venganza
Cuando se gana tu confianza
Intenta pero su corazón no tranza
Me engañó y aún no pierdo la esperanza, no
Empieza su venganza
Cuando se gana tu confianza
Intenta pero su corazón no tranza
Te engañó y aún no pierdes la esperanza, no
[Coro: Daddy Yankee, Ozuna]
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen
Le dicen ""la rompe corazones""
Falsas ilusiones
No esperes que cambie con el tiempo
Se acostumbró a que la perdonen

[Outro: Daddy Yankee, Ozuna]
Eh, eh
Chris Jeday
Gaby Music
DY
Diddy-di, Diddy-di
Ozuna
Ziggy, Daddy Yankee","pop","es",2017,19,41
"348","C. TANGANA","MALA MUJER","[Letra de ""Mala Mujer""]

[Intro]
(Tus-tus-tus-tus, tus uñas de gel)

[Coro]
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel
Mala mujer (Mala mujer), mala mujer (Mala mujer)
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel
(Vámonos)

[Verso 1]
Me he jura'o miles de veces, miles de veces
Que iba borrar ese rastro, olvidar tu dolor
(Ma-ma-mala mujer)
Soy un perro perdido en la calle, perdido en la calle
Sintiendo que cualquier brisa me arrastra a tu olor

[Refrán]
Sólo porque tú te has ido (Eso e'), quiero perder el sentido (Eso e')
Y bailo borracho perdido, desespera'o
(Estoy desespera'o)
Sólo porque tú te has ido (Eso e'), quiero perder el sentido (Eso e')
Y bailo borracho perdido, desespera'o
[Coro]
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel
(Tus-tus-tus-tus, tus uñas de gel)
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel

[Refrán]
Y ahora estoy, desespera'o (¡Desespera'o!), desespera'o (¡Desespera'o!)
Bailo borracho perdido, desespera'o
Y ahora estoy, desespera'o, desespera'o
Bailo borracho perdido, desespera'o

[Coro]
Mala mujer, mala mujer, mala mujer (Ay, ay)
Mala mujer (Mala mujer), mala mujer (Mala mujer)
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel
(Vámonos)

[Verso 2]
La primera vez que vi to' ese cuerpo moverse
Estaba sonando el tema del Dellafuente
Un golpe de sudor empapando mi frente
Le brillaban las uñas, la miraba la gente (¡Eso e'!)
La melena hasta el culo y bien alto el mentón
Lo hacía despacito al ritmo de la canción
Yo estaba en la cabina preparando el show
Pero quería bajarme y arrancarle el crop
Cuando la vi bailando, iba como perdi'a dentro de sí
Cuando la vi bailando, debí correr lejos de ahí
Pero la vi bailando, y no me pude contener
Y ahora yo estoy llorando y ella bailando, mala mujer
[Puente]
Tú lo que eres es una ladrona
Que me has llevado a la ruina
Te has llevado mi corazón, mi orgullo, mi pasta, mi paz, mi vida
Tú lo que eres es una ladrona (¡Ladrona!)
Que me has llevado a la ruina (¡A la ruina!)
Te has llevado mi corazón, mi orgullo, mi pasta, mi paz, mi vida

[Coro]
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel
(Tus-tus-tus-tus, tus uñas de gel)
Mala mujer (Mala mujer), mala mujer (Mala mujer)
Me han dejado cicatrices por todo mi cuerpo tus uñas de gel","pop","es",2017,20,31
"349","CNCO","HEY DJ (POP VERSION)","[Letra de ""Hey DJ (Pop Version)""]

[Intro]
CNCO baby

[Verso 1: Richard, Zabdiel]
Soy yo
El que no para de llamarte
Porque no he podido olvidarte
Desde aquel día en que te ví
Soy yo
El que solo vive soñando
Tu tambien te estas enamorando
De mí

[Pre - Estribillo: Joel]
Que hay algo en ti que me arrebata, bata
Baby tu me tienes loco, loco
Tu me encantas y se nota, ah ah
Y si tú y yo ya estamos aquí
[Estribillo: Todos]
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!

[Post - Estribillo: Christopher]
Y asi nos vamos enamorando
Y tu cuerpo me va seduciendo
Que el DJ la repita otra vez
Pa' bailar contigo otra vez

Y asi nos vamos enamorando
Y tu cuerpo me va seduciendo
Que el DJ la repita otra vez
Pa' bailar contigo otra vez

[Verso 2: Erick,Zabdiel]
DJ ponme el reggaeton pero full
Pa' pasarla cool
Hay muchas en la discoteca
Pero solo me gustas tú, solamente tú
Yo me imagino en la playa
Contigo en un cielo azul
Sobre la arena, tu piel canela
Entramos en calor
Vale la pena, contigo nena
Se pasa mejor
[Pre - Estribillo: Joel]
Que algo en ti que me arrebata, bata
Baby tu me tienes loco, loco
Tu me encantas y se nota, ah ah
Y si tú y yo estamos aquí

[Estribillo: Todos]
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!

[Post - Estribillo: Christopher]
Y asi nos vamos enamorando
Y tu cuerpo me va seduciendo
Que el DJ la repita otra vez
Pa' bailar contigo otra vez

Y asi nos vamos enamorando
Y tu cuerpo me va seduciendo
Que el DJ la repita otra vez
Pa' bailar contigo otra vez
[Estribillo: Todos]
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!
Hey DJ
Póngale la música que le gusta
Una para que se mueva y se luzca
Y baile conmigo, solo conmigo, hey!","pop","es",2017,21,38
"350","ANUEL AA","SOLA","[Letra de ""Sola""]

[Coro]
Hola, te vi caminando en lo oscuro sola
En este juego tú tienes la bola
Quiero comerte completita sola
Quiero comerte completita sola
Yo nunca olvido la primera vez que yo te llegué a comer
Y sigo recorriendo tu piel
Fumando y bebiendo rosé
¿Y ahora qué?
Te tengo de espaldas, tú mirándome
La cara mojándote
Sigo recorriendo tu piel
Fumando y bebiendo rosé

[Verso: 1]
No puedo olvidar ni tu cuerpo ni tu boca
Y la manera que en mi cama te tocas
Humo en el aire, champaña en la copa
Ella es blanquita como la coca
Nadie como vos
Usted sonríe pa' esconder el dolor
Nunca hablamos de amor
Pero se la esparracho, you know
Trépateme encima y báilame
Por to' el dinero ya está fronteándome
Chiquilla, se viene tocándose
Yo sé que este juego está tentándote
[Coro]
Hola, te vi caminando en lo oscuro sola
En este juego tú tienes la bola
Quiero comerte completita sola
Quiero comerte completita sola
Yo nunca olvido la primera vez que yo te llegué a comer
Y sigo recorriendo tu piel
Fumando y bebiendo rosé
¿Y ahora qué?
Te tengo de espaldas, tú mirándome
La cara mojándote
Sigo recorriendo tu piel
Fumando y bebiendo rosé

[Verso: 2]
Yo No soy un diablo pero te doy calor
Se pasa gastando dinero, ella trabaja en el mall
Es una diabla, ella no siente temor
Solo sale cuando se esconde el sol
Hay sexo y consuelo para el desamor
Mi mama dice que así es mejor
La amo como amo mi pistola
Le dimos a diez botellas y le dije

[Coro]
Hola, te vi caminando en lo oscuro sola
En este juego tú tienes la bola
Quiero comerte completita sola
Quiero comerte completita sola
Yo nunca olvido la primera vez que yo te llegué a comer
Y sigo recorriendo tu piel
Fumando y bebiendo rosé
¿Y ahora qué?
Te tengo de espaldas, tú mirándome
La cara mojándote
Sigo recorriendo tu piel
Fumando y bebiendo rosé","rap","es",2017,22,52
"351","PITBULL / J BALVIN / CAMILA CABELLO","HEY MA (SPANISH VERSION)","[Letra de ""Hey Ma (Spanish Version)"" ft. Camila Cabello]

[Verso 1: J Balvin]
Dale, sin miedo
Arriésgate y sígueme el juego
Sola, creo
Di a tus amigas hasta luego
No des explicaciones, sólo vente
Que tu mente es malvada, eso yo lo sé
En tu mirada yo lo puedo ver
Te mata mi estilo y eso yo lo sé

[Pre-Coro 1: J Balvin]
Vamo' a romper la disco, rampapampam
Baila que no te he visto, pampapampam
Porque tú eras lo que yo soñé
No perdamos el tiempo, pampapampam

[Coro: J Balvin]
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
Girl, it's getting hotter
I can't take much more
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you
[Verso 2: Pitbull, (Camila Cabello)]
Pa' lante con la libertad de Cuba
Y que la isla entera suba, ah
De la Habana hasta Santiago
Todo mundo fumando puro y tomando tragos, ¡qué relajo!
El vago trabaja doble, so, ponte las pilas
Todo mundo quiere una Cubana, ponte en fila (Oh, yeah)
Esto es un party, que siga, como sea
¿Cómo qué? Como tú quiera', a tu manera
Are you single? Quítate las payamita' pa' que tú veas (Ah)
No soy un mono vestido de seda
Esas mujeres 'tán caliente' y mucho más
Te queman por aquí, te queman por allá

[Pre-Coro 2: Camila Cabello]
No miraré atrás
Oh, no, ya no
No puedo respirar
Sin tu amor, baby, tu amor

[Coro: J Balvin, Camila Cabello,  Both]
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
Girl, it's getting hotter
I can't take much more
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you
I need you
Hey
[Puente: Camila Cabello]
Si tocas mi piel
Tú saciarás mi sed
Oh, voy a enloquecer
Dime lo que vas a hacer
Dime lo que vas a hacer, no, no, no, no, no, no, no

[Coro: Camila Cabello & J Balvin]
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
Girl, it's getting hotter
I can't take much more
I need you
Hey, mama, hey, mama, hey, mama, hey, ma'
I need you

[Outro: Camila Cabello]
I need you, hey!
Pa' mi gente latina, stand up!
¡Cuba!","pop","es",2017,23,34
"352","CLEAN BANDIT / SEAN PAUL & ANNE-MARIE","ROCKABYE","[Intro: Sean Paul]
Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, hah
For all the single moms out there
Going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear

[Verse 1: Anne-Marie & Sean Paul]
She works at nights, by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (Daily struggle)

[Pre-Chorus 1: Anne-Marie & Sean Paul]
She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I've got to do.""
(Stay up there, stay up there!)
[Chorus: Anne-Marie]
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Ah, rockabye, no

[Post-Chorus 1: Sean Paul & Anne-Marie]
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye

[Verse 2: Sean Paul & Anne-Marie, Both]
Single mum, how're you doing out there?
Facing the hard life, without no fear (Yeah!)
Just so you know that you really care
'Cause any obstacle come, you're well prepared (Oh, no!)
And no, mama, you never shed tear
'Cause you have to shed things year after year (Na, na, na, na)
And you give the yout love beyond compare (Yeah!)
You find his school fee and the bus fare (Yeah!)
Mh, all when di pops disappear
Inna rum bar, can't find him nowhere
Steadily your workflow, heavily you know
So your non-stop, no time, no time for ya dear
[Bridge: Anne-Marie]
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe

[Pre-Chorus 2: Anne-Marie]
When she says, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""

[Chorus: Anne-Marie & Sean Paul]
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, rockabye, no

[Post-Chorus 2: Sean Paul & Anne-Marie]
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye
[Bridge: Anne-Marie]
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

[Pre-Chorus 1: Anne-Marie & Sean Paul]
She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I got to do."", yeah

[Chorus: Anne-Marie & Sean Paul]
So, rockabye, baby, rockabye
(Rockabye, rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Rockabye, rocka-rocka-rocka-bye)
Somebody's got you
Rockabye, baby, rockabye
(Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, rockabye

[Post-Chorus 3: Sean Paul & Anne-Marie]
Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Ah, Rockabye!)
Rockabye, don't bother cry (Yeah!)
Angels surround you, just dry your eye (Yeah, ah, rockabye!)
Rockabye, don't bother cry (No!)
Lift up your head, lift it up to the sky (Oh, Rockabye!)
Rockabye, don't bother cry
Angels surround you, just dry your eye","pop","en",2017,24,41
"353","DEMARCO FLAMENCO / MAKI","LA ISLA DEL AMOR","[Letra de ""La isla del amor""]

[Verse 1]
Me encanta tu aroma de mujer
Y esa suave caricia que regalas a mi piel
Me gusta tu forma de querer
Y que cuentes las horas que te quedan pa' volverme a ver

[Pre-Chorus]
Si te veo sonreír, soy el hombre más feliz
Y vendería mi alma
Para que sigas aquí, enamorándome así
Solo con una mirada

[Chorus]
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor
[Verse 2]
Puede que no puedas entender
Ciertas cosas de ti amor, pero ven y bésame (Y bésame amor)
Siente con mi beso mi calor
Pase lo que pase aquí, te daré mi corazón

Mi corazón solo se para si te acercas y me miras
Llévame dormido en volandas a tu isla
En ese barquito, despacito y al oído
Dime que me quieres, yo nuca me he ido

[Chorus]
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor

[Post-Chorus]
Si te veo sonreír, soy el hombre más feliz
Y vendería mi alma
Para que sigas aquí, enamorándome así
Solo con una mirada

[Verse 3]
Acércate mamita que la noche está empezando
Tú baila suave que yo sigo remando
Dale mambo, chica vamos evacuando
Ahoga mis deseos con un beso de tus labios
Yo soy el capitán de este barquito de velas
La mulata se deserta y me clava sus muelas
Toma, tú quieres guerra, pues toma guerra
Quítate la ropa que llegamos a tierra

[Chorus]
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor
En ese barquito de papel, viajaremos tú y yo
A la isla del amor
Y a la isla del amor

[Outro]
Tú y yo
Tú y yo","pop","es",2017,25,29
